Site,Survey_Field,Field,Point,Survey,X_Cor,Y_Cor,Plant_Height,Ground_Cover,Spatial_Position,Ground_Cover
S4_F8_P10,S4_F8,8,10,4,2,4,45,77.31,Inner,77
S4_F8_P11,S4_F8,8,11,4,1,4,49,78.52,Outer,79
S4_F8_P12,S4_F8,8,12,4,3,3,46,80.95,Outer,81
S4_F8_P13,S4_F8,8,13,4,2,3,40,76.81,Inner,77
S4_F8_P14,S4_F8,8,14,4,1,3,45,83.05,Outer,83
S4_F8_P15,S4_F8,8,15,4,3,2,46,73.61,Outer,74
S4_F8_P16,S4_F8,8,16,4,2,2,46,85.8,Inner,86
S4_F8_P17,S4_F8,8,17,4,1,2,40,75.87,Outer,76
S4_F8_P18,S4_F8,8,18,4,3,1,54,81.35,Outer,81
S4_F8_P19,S4_F8,8,19,4,2,1,54,90.96,Outer,91
S4_F8_P20,S4_F8,8,20,4,1,1,43,77.34,Outer,77
S4_F9_P1,S4_F9,9,1,4,1,4,28,39.89,Outer,40
S4_F9_P2,S4_F9,9,2,4,1,3,32,55.9,Outer,56
S4_F9_P3,S4_F9,9,3,4,1,2,24,51.65,Outer,52
S4_F9_P4,S4_F9,9,4,4,1,1,23,36.26,Outer,36
S4_F9_P5,S4_F9,9,5,4,2,4,24,44.75,Outer,45
S4_F9_P6,S4_F9,9,6,4,2,3,35,67.73,Inner,68
S4_F9_P7,S4_F9,9,7,4,2,2,29,47.21,Inner,47
S4_F9_P8,S4_F9,9,8,4,2,1,30,46.02,Outer,46
S4_F9_P9,S4_F9,9,9,4,3,4,22,29.68,Outer,30
S4_F9_P10,S4_F9,9,10,4,3,3,26,57.53,Inner,58
S4_F9_P11,S4_F9,9,11,4,3,2,30,46.7,Inner,47
S4_F9_P12,S4_F9,9,12,4,3,1,24,38.39,Outer,38
S4_F9_P13,S4_F9,9,13,4,4,4,36,49.75,Outer,50
S4_F9_P14,S4_F9,9,14,4,4,3,26,29.08,Inner,29
S4_F9_P15,S4_F9,9,15,4,4,2,23,41.52,Inner,42
S4_F9_P16,S4_F9,9,16,4,4,1,23,53.4,Outer,53
S4_F9_P17,S4_F9,9,17,4,5,4,27,42.73,Outer,43
S4_F9_P18,S4_F9,9,18,4,5,3,23,38.32,Inner,38
S4_F9_P19,S4_F9,9,19,4,5,2,24,52.99,Inner,53
S4_F9_P20,S4_F9,9,20,4,5,1,34,56.4,Outer,56
S4_F9_P21,S4_F9,9,21,4,6,4,20,45.35,Outer,45
S4_F9_P22,S4_F9,9,22,4,6,3,24,46.12,Outer,46
S4_F9_P23,S4_F9,9,23,4,6,2,24,39.47,Outer,39
S4_F9_P24,S4_F9,9,24,4,6,1,32,45.17,Outer,45
S5_F8_P1,S5_F8,8,1,5,3,7,52,88.5,Outer,89
S5_F8_P2,S5_F8,8,2,5,2,7,48,93.26,Outer,93
S5_F8_P3,S5_F8,8,3,5,1,7,43,90.4,Outer,90
S5_F8_P4,S5_F8,8,4,5,3,6,46,90.68,Outer,91
S5_F8_P5,S5_F8,8,5,5,2,6,41,91.4,Inner,91
S5_F8_P6,S5_F8,8,6,5,1,6,49,92.04,Outer,92
S5_F8_P7,S5_F8,8,7,5,2,5,43,84.93,Outer,85
S5_F8_P8,S5_F8,8,8,5,1,5,53,92.24,Outer,92
S5_F8_P9,S5_F8,8,9,5,3,4,42,89.75,Outer,90
S5_F8_P10,S5_F8,8,10,5,2,4,45,93.69,Inner,94
S5_F8_P11,S5_F8,8,11,5,1,4,54,92.53,Outer,93
S5_F8_P12,S5_F8,8,12,5,3,3,53,94.54,Outer,95
S5_F8_P13,S5_F8,8,13,5,2,3,46,90.37,Inner,90
S5_F8_P14,S5_F8,8,14,5,1,3,40,91.61,Outer,92
S5_F8_P15,S5_F8,8,15,5,3,2,45,92.08,Outer,92
S5_F8_P16,S5_F8,8,16,5,2,2,58,87.93,Inner,88
S5_F8_P17,S5_F8,8,17,5,1,2,51,89.7,Outer,90
S5_F8_P18,S5_F8,8,18,5,3,1,41,90.3,Outer,90
S5_F8_P19,S5_F8,8,19,5,2,1,52,92.12,Outer,92
S5_F8_P20,S5_F8,8,20,5,1,1,42,91.88,Outer,92
S6_F8_P1,S6_F8,8,1,6,3,7,47,77.49,Outer,77
S6_F8_P2,S6_F8,8,2,6,2,7,44,55.5,Outer,55
S6_F8_P3,S6_F8,8,3,6,1,7,44,60.26,Outer,60
S6_F8_P4,S6_F8,8,4,6,3,6,46,61.45,Outer,61
S6_F8_P5,S6_F8,8,5,6,2,6,36,77.07,Inner,77
S6_F8_P6,S6_F8,8,6,6,1,6,46,70.82,Outer,71
S6_F8_P7,S6_F8,8,7,6,2,5,43,55.32,Outer,55
S6_F8_P8,S6_F8,8,8,6,1,5,43,73.23,Outer,73
S6_F8_P9,S6_F8,8,9,6,3,4,43,76.45,Outer,76
S6_F8_P10,S6_F8,8,10,6,2,4,41,60.76,Inner,61
S6_F8_P11,S6_F8,8,11,6,1,4,48,72.47,Outer,72
S6_F8_P12,S6_F8,8,12,6,3,3,45,65.26,Outer,65
S6_F8_P13,S6_F8,8,13,6,2,3,44,60.58,Inner,61
S6_F8_P14,S6_F8,8,14,6,1,3,52,51.39,Outer,51
S6_F8_P15,S6_F8,8,15,6,3,2,43,74.88,Outer,75
S6_F8_P16,S6_F8,8,16,6,2,2,46,70.29,Inner,70
S6_F8_P17,S6_F8,8,17,6,1,2,48,52.56,Outer,53
S6_F8_P18,S6_F8,8,18,6,3,1,48,70.73,Outer,71
S6_F8_P19,S6_F8,8,19,6,2,1,52,71.18,Outer,71
S6_F8_P20,S6_F8,8,20,6,1,1,40,49.23,Outer,49
S6_F10_P1,S6_F10,10,1,6,1,5,33,71.95,Outer,72
S6_F10_P2,S6_F10,10,2,6,1,4,35,77.61,Outer,78
S6_F10_P3,S6_F10,10,3,6,1,3,29,74.54,Outer,75
S6_F10_P4,S6_F10,10,4,6,1,2,42,69.36,Outer,69
S6_F10_P5,S6_F10,10,5,6,1,1,31,73.37,Outer,73
S6_F10_P6,S6_F10,10,6,6,2,5,30,79.09,Outer,79
S6_F10_P7,S6_F10,10,7,6,2,4,36,70.93,Outer,71
S6_F10_P8,S6_F10,10,8,6,2,3,32,72.99,Outer,73
S6_F10_P9,S6_F10,10,9,6,2,2,39,23.26,Outer,23
S6_F10_P10,S6_F10,10,10,6,2,1,31,76.05,Outer,76
S6_F11_P1,S6_F11,11,1,6,1,4,41,77.46,Outer,77
S6_F11_P2,S6_F11,11,2,6,1,3,46,78.87,Outer,79
S6_F11_P3,S6_F11,11,3,6,1,2,48,86.19,Outer,86
S6_F11_P4,S6_F11,11,4,6,1,1,36,78.82,Outer,79
S6_F11_P5,S6_F11,11,5,6,2,4,38,80.95,Outer,81
S6_F11_P6,S6_F11,11,6,6,2,3,40,86.2,Outer,86
S6_F11_P7,S6_F11,11,7,6,2,2,51,88.98,Outer,89
S7_F12_P1,S7_F12,12,1,7,7,3,50,87.29,Outer,87
S7_F12_P2,S7_F12,12,2,7,6,3,49,80.65,Outer,81
S7_F12_P3,S7_F12,12,3,7,5,3,43,92.4,Outer,92
S7_F12_P4,S7_F12,12,4,7,4,3,57,76.53,Outer,77
S7_F12_P5,S7_F12,12,5,7,3,3,49,75.5,Outer,75
S7_F12_P6,S7_F12,12,6,7,2,3,49,85.51,Outer,86
S7_F12_P7,S7_F12,12,7,7,1,3,51,87.78,Outer,88
S7_F12_P8,S7_F12,12,8,7,7,2,48,88.26,Outer,88
S7_F12_P9,S7_F12,12,9,7,6,2,51,84.03,Inner,84
S7_F12_P10,S7_F12,12,10,7,5,2,51,84.47,Inner,84
S7_F12_P11,S7_F12,12,11,7,4,2,45,84.55,Inner,85
S7_F12_P12,S7_F12,12,12,7,3,2,44,80.79,Inner,81
S7_F12_P13,S7_F12,12,13,7,2,2,53,81.46,Inner,81
S7_F12_P14,S7_F12,12,14,7,1,2,45,78.2,Outer,78
S7_F12_P15,S7_F12,12,15,7,7,1,45,75.54,Outer,76
S7_F12_P16,S7_F12,12,16,7,6,1,53,79.67,Outer,80
S7_F12_P17,S7_F12,12,17,7,5,1,47,77.47,Outer,77
S7_F12_P18,S7_F12,12,18,7,4,1,49,78.62,Outer,79
S7_F12_P19,S7_F12,12,19,7,3,1,43,62.99,Outer,63
S7_F12_P20,S7_F12,12,20,7,2,1,46,82.68,Outer,83
S7_F12_P21,S7_F12,12,21,7,1,1,51,77.33,Outer,77
S7_F10_P1,S7_F10,10,1,7,1,5,40,88.76,Outer,89
S7_F10_P2,S7_F10,10,2,7,1,4,42,89.05,Outer,89
S7_F10_P3,S7_F10,10,3,7,1,3,36,87.98,Outer,88
S7_F10_P4,S7_F10,10,4,7,1,2,43,91.01,Outer,91
S7_F10_P5,S7_F10,10,5,7,1,1,38,88.4,Outer,88
S7_F10_P6,S7_F10,10,6,7,2,5,41,86.67,Outer,87
S7_F10_P7,S7_F10,10,7,7,2,4,44,85.03,Outer,85
S7_F10_P8,S7_F10,10,8,7,2,3,38,81.8,Outer,82
S7_F10_P9,S7_F10,10,9,7,2,2,45,90.54,Outer,91
S7_F10_P10,S7_F10,10,10,7,2,1,42,90.89,Outer,91
S8_F10_P1,S8_F10,10,1,8,1,5,46,32.88,Outer,33
S8_F10_P2,S8_F10,10,2,8,1,4,41,42.75,Outer,43
S8_F10_P3,S8_F10,10,3,8,1,3,44,60.27,Outer,60
S8_F10_P4,S8_F10,10,4,8,1,2,48,62.68,Outer,63
S8_F10_P5,S8_F10,10,5,8,1,1,46,53.06,Outer,53
S8_F10_P6,S8_F10,10,6,8,2,5,48,46.77,Outer,47
S8_F10_P7,S8_F10,10,7,8,2,4,38,45.43,Outer,45
S8_F10_P8,S8_F10,10,8,8,2,3,39,27.37,Outer,27
S8_F10_P9,S8_F10,10,9,8,2,2,41,50.34,Outer,50
S8_F10_P10,S8_F10,10,10,8,2,1,46,54.28,Outer,54
S8_F13_P1,S8_F13,13,1,8,1,4,72,14.02,Outer,14
S8_F13_P2,S8_F13,13,2,8,1,3,76,40.06,Outer,40
S8_F13_P3,S8_F13,13,3,8,1,2,62,19.32,Outer,19
S8_F13_P4,S8_F13,13,4,8,1,1,68,22.56,Outer,23
S8_F13_P5,S8_F13,13,5,8,2,5,56,17.86,Outer,18
S8_F13_P6,S8_F13,13,6,8,2,4,62,41.47,Inner,41
S8_F13_P7,S8_F13,13,7,8,2,3,52,29.92,Inner,30
S8_F13_P8,S8_F13,13,8,8,2,2,63,43.46,Inner,43
S8_F13_P9,S8_F13,13,9,8,2,1,53,37.75,Outer,38
S8_F13_P10,S8_F13,13,10,8,3,5,58,25.88,Outer,26
S8_F13_P11,S8_F13,13,11,8,3,4,68,55.69,Inner,56
S8_F13_P12,S8_F13,13,12,8,3,3,66,10.77,Inner,11
S8_F13_P13,S8_F13,13,13,8,3,2,58,24.1,Inner,24
S8_F13_P14,S8_F13,13,14,8,3,1,55,30.5,Outer,30
S8_F13_P15,S8_F13,13,15,8,4,5,56,22.01,Outer,22
S8_F13_P16,S8_F13,13,16,8,4,4,59,21.33,Inner,21
S8_F13_P17,S8_F13,13,17,8,4,3,56,22.33,Inner,22
S8_F13_P18,S8_F13,13,18,8,4,2,48,34.35,Inner,34
S8_F13_P19,S8_F13,13,19,8,4,1,57,16.47,Outer,16
S8_F13_P20,S8_F13,13,20,8,5,5,61,24.08,Outer,24
S8_F13_P21,S8_F13,13,21,8,5,4,66,40.86,Inner,41
S8_F13_P22,S8_F13,13,22,8,5,3,63,39.95,Inner,40
S8_F13_P23,S8_F13,13,23,8,5,2,55,33.04,Inner,33
S8_F13_P24,S8_F13,13,24,8,5,1,48,38.51,Outer,39
S8_F13_P25,S8_F13,13,25,8,6,5,62,27.05,Outer,27
S8_F13_P26,S8_F13,13,26,8,6,4,64,41.62,Outer,42
S8_F13_P27,S8_F13,13,27,8,6,3,59,34.11,Outer,34
S8_F13_P28,S8_F13,13,28,8,6,2,58,38.81,Outer,39
S8_F13_P29,S8_F13,13,29,8,6,1,53,34.62,Outer,35
